model,site,nb_deg,nb_pm,component,ttf,ctf
M4,I,0,0,C01,14512560.0,43610
M3,E,0,0,C01,7526100.0,15958
M5,S,0,1,C02,35598480.0,18837
M4,E,0,0,C01,11476295.0,26354
M7,E,0,1,C01,6585367.0,34351
M7,E,0,1,C01,5681091.0,6937
M3,E,0,1,C01,30834260.0,66802
M7,E,0,0,C02,6631790.0,26326
M3,S,0,2,C01,60393660.0,303957
M5,S,0,0,C02,16994280.0,9966
M3,E,0,0,C01,8959776.0,16273
M4,I,0,1,C01,40234800.0,31572
M4,E,0,1,C01,19246531.0,57944
M4,S,0,0,C01,6067320.0,8407
M7,I,0,1,C01,9253440.0,10369
M3,S,0,0,C01,7186462.0,19812
M7,E,1,1,C02,29288940.0,101727
M7,E,0,1,C01,16080000.0,64229
M7,E,0,0,C02,3364397.0,8805
M7,E,4,1,C01,6911640.0,20211
M4,E,0,0,C01,18586434.0,28400
M2,E,0,0,C01,12939600.0,26922
M7,E,0,1,C01,39033900.0,80857
M7,E,1,0,C01,7602900.0,25089
M7,E,0,0,C01,6721140.0,17795
M4,S,0,2,C02,62630460.0,208636
M3,E,0,0,C01,13654560.0,33483
M7,E,3,0,C02,10656378.0,28485
M4,S,4,0,C01,16492848.0,38307
M4,I,0,1,C01,30080237.0,28642
M7,S,0,0,C01,22699849.0,54670
M4,S,0,1,C01,5032620.0,8759
M4,E,0,0,C01,2923380.0,5065
M4,S,0,1,C01,71618580.0,170087
M2,S,2,1,C02,30053100.0,86749
M3,E,0,1,C01,66267420.0,243694
M7,E,0,1,C01,21702267.0,75354
M3,S,0,0,C01,2407668.0,6670
M7,S,0,1,C01,79314123.0,156530
M2,E,0,2,C02,68150580.0,166057
M2,H,0,1,C01,36301740.0,36814
M3,S,0,0,C01,24281897.0,66599
M7,E,0,0,C01,5018803.0,17167
M3,E,0,2,C01,31073185.0,105107
M1,S,0,1,C01,20910350.0,30519
M3,E,0,1,C01,38430600.0,147609
M3,S,0,0,C02,2857660.0,5299
M2,S,3,0,C01,14982251.0,9658
M4,S,0,0,C01,14247360.0,65235
M4,E,0,0,C02,11996679.0,20358
M4,E,0,0,C01,36032489.0,64115
M3,S,9,0,C01,72817920.0,15609
M1,S,0,2,C01,53132857.0,99822
M4,S,0,0,C01,8983920.0,19979
M4,S,0,1,C01,4930680.0,7555
M7,E,0,0,C01,22209660.0,43604
M2,E,0,1,C01,5117071.0,5048
M3,E,0,1,C01,28187867.0,71306
M4,E,0,2,C01,46909800.0,85294
M7,S,0,0,C01,2183460.0,5414
M3,S,0,0,C01,26017314.0,39756
M3,S,0,1,C02,68872980.0,108123
M3,E,0,0,C01,5417820.0,8470
M3,E,0,0,C01,2166466.0,8188
M4,I,0,1,C01,2441460.0,6105
M3,E,11,1,C01,34321680.0,79595
M2,E,0,2,C02,5876340.0,10873
M3,I,0,1,C01,32230053.0,57020
M4,E,0,1,C02,31109520.0,44799
M4,S,0,1,C01,32851200.0,86287
M3,S,0,1,C01,75772296.0,143686
M7,S,0,0,C01,6059940.0,15740
M7,E,0,0,C01,1749637.0,6483
M7,E,2,0,C02,17603100.0,50570
M4,S,0,1,C02,15232036.0,39742
M3,S,0,0,C01,9499020.0,13207
M3,S,0,0,C02,8966829.0,21066
M3,E,0,2,C01,37755180.0,101064
M3,S,0,0,C01,30835596.0,69237
